Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zombieBoeFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBoeRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBowler,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBowlerFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBowlerRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBurnt,entityclasses,Entity,,,Burnt Corpse,,Verbrannte Leiche,Cadáver quemado,Cadavre brûlé,Cadavere bruciato,焼けた死体,탄 시체,Spalone zwłoki,Cadáver queimado,Обгоревший труп,Yanmış Ceset,烧焦的尸体,燒焦的屍體
zombieBurntFeral,entityclasses,Entity,,,Burnt Corpse,,Verbrannte Leiche,Cadáver quemado,Cadavre brûlé,Cadavere bruciato,焼けた死体,탄 시체,Spalone zwłoki,Cadáver queimado,Обгоревший труп,Yanmış Ceset,烧焦的尸体,燒焦的屍體
zombieBurntRadiated,entityclasses,Entity,,,Burnt Corpse,,Verbrannte Leiche,Cadáver quemado,Cadavre brûlé,Cadavere bruciato,焼けた死体,탄 시체,Spalone zwłoki,Cadáver queimado,Обгоревший труп,Yanmış Ceset,烧焦的尸体,燒焦的屍體
zombieBusinessMan,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBusinessManFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieBusinessManRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieDarlene,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieDarleneFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieDarleneRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieDemolition,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFatCop,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFatCopFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFatCopRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFatHawaiian,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFatHawaiianFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFatHawaiianRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFemaleFat,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFemaleFatFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieFemaleFatRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieInmate,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieInmateFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieInmateRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieJanitor,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieJanitorFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieJanitorRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieJoe,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieJoeFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieJoeRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieLab,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieLabFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieLabRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieLumberjack,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieLumberjackFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieLumberjackRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMaleHazmat,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMaleHazmatFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMaleHazmatRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMarlene,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMarleneFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMarleneRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMoe,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMoeFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMoeRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMutated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMutatedFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieMutatedRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieNurse,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieNurseFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieNurseRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombiePartyGirl,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombiePartyGirlFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombiePartyGirlRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieScreamer,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieScreamerFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieScreamerRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSkateboarder,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSkateboarderFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSkateboarderRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSoldier,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSoldierFeral,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
zombieSoldierRadiated,entityclasses,Entity,,,Rotting Corpse,,Verwesende Leiche,Cadáver putrefacto,Cadavre en décomposition,Cadavere in decomposizione,腐敗した死体,썩어가는 시체,Gnijące zwłoki,Cadáver em decomposição,Гниющий труп,Çürüyen Ceset,腐烂的尸体,腐爛的屍體
